"Chap","Prot","DB","evidence","weight"
"HSPA9","ALDH7A1","local","coexpression",1
"HSPA9","HDHD5","local","coexpression",1
"HSPA9","MRPL39","local","coexpression",1
"HSPA9","AADAT","local","coexpression",1
"HSPA9","LYPLA1","local","coexpression",1
"HSPA9","MTRF1L","local","coexpression",1
"HSPA9","GTPBP3","local","coexpression",1
"HSPA9","MTHFD2L","local","coexpression",1
"HSPA9","ACOT2","local","coexpression",1
"HSPA9","ABCD3","local","coexpression",1
"HSPA9","MRPL45","local","coexpression",1
"HSPA9","C12ORF65","local","coexpression",1
"HSPA9","POLG","local","coexpression",1
"HSPA9","ATPAF1","local","coexpression",1
"HSPA9","ALDH1L2","local","coexpression",1
"HSPA9","COX18","local","coexpression",1
"HSPA9","CPOX","local","coexpression",1
"HSPA9","NNT","local","coexpression",1
"HSPA9","SLC16A1","local","coexpression",1
"HSPA9","LONP2","local","coexpression",1
"HSPA9","DIABLO","local","coexpression",1
"HSPA9","PXMP2","local","coexpression",1
"HSPA9","AGXT2","local","coexpression",1
"HSPA9","GLS2","local","coexpression",1
"HSPA9","APOO","local","coexpression",1
"HSPA9","ACAD11","local","coexpression",1
"HSPA9","TTC19","local","coexpression",1
"HSPA9","NGRN","local","coexpression",1
"HSPA9","GCSH","local","coexpression",1
"HSPA9","SIRT5","local","coexpression",1
"HSPA9","GPT2","local","coexpression",1
"HSPA9","FAM162A","local","coexpression",1
"HSPA9","DMGDH","local","coexpression",1
"HSPA9","SLC25A17","local","coexpression",1
"HSPA9","TOMM70","local","coexpression",1
"HSPA9","FAHD1","local","coexpression",1
"HSPA9","MCU","local","coexpression",1
"HSPA9","MDH1","local","coexpression",1
"HSPA9","KIAA0141","local","coexpression",1
"HSPA9","FASTKD1","local","coexpression",1
"HSPA9","ALDH1L1","local","coexpression",1
"HSPA9","HADHB","local","coexpression",1
"HSPA9","SLC25A32","local","coexpression",1
"HSPA9","CHCHD2","local","coexpression",1
"HSPA9","ELAC2","local","coexpression",1
"HSPA9","ME1","local","coexpression",1
"HSPA9","PRELID1","local","coexpression",1
"HSPA9","SLC25A40","local","coexpression",1
"HSPA9","SLC25A23","local","coexpression",1
"HSPA9","SLC25A36","local","coexpression",1
"HSPA9","METTL5","local","coexpression",1
"HSPA9","MSRA","local","coexpression",1
"HSPA9","NMNAT3","local","coexpression",1
"HSPA9","ACLY","local","coexpression",1
"HSPA9","C14ORF159","local","coexpression",1
"HSPA9","PCK2","local","coexpression",1
"HSPA9","NADK2","local","coexpression",1
"HSPA9","HK2","local","coexpression",1
"HSPA9","ACACA","local","coexpression",1
"HSPA9","ABAT","local","coexpression",1
"HSPA9","HMGCS2","local","coexpression",1
"HSPA9","ALDH5A1","local","coexpression",1
"HSPA9","CKMT1A","local","coexpression",1
"HSPA9","NDUFB4","local","coexpression",1
"HSPA9","FAM136A","local","coexpression",1
"HSPA9","TOMM5","local","coexpression",1
"HSPA9","GPI","local","coexpression",1
"HSPA9","OPA3","local","coexpression",1
"HSPA9","AKR1B10","local","coexpression",1
"HSPA9","PHYH","local","coexpression",1
"HSPA9","NDUFAF2","local","coexpression",1
"HSPA9","MRPL42","local","coexpression",1
"HSPA9","MRS2","local","coexpression",1
"HSPA9","ABHD10","local","coexpression",1
"HSPA9","HINT3","local","coexpression",1
"HSPA9","OSGEPL1","local","coexpression",1
"HSPA9","CYB5B","local","coexpression",1
"HSPA9","GRSF1","local","coexpression",1
"HSPA9","MRPS18B","local","coexpression",1
"HSPA9","CAT","local","coexpression",1
"HSPA9","RFK","local","coexpression",1
"HSPA9","STARD7","local","coexpression",1
"HSPA9","CHPT1","local","coexpression",1
"HSPA9","HTATIP2","local","coexpression",1
"HSPA9","DUT","local","coexpression",1
"HSPA9","KIAA0100","local","coexpression",1
"HSPA9","RHOT1","local","coexpression",1
"HSPA9","MTHFS","local","coexpression",1
"HSPA9","PNPO","local","coexpression",1
"HSPA9","IDH1","local","coexpression",1
"HSPA9","MICU2","local","coexpression",1
"HSPA9","PCBD2","local","coexpression",1
"HSPA9","QRSL1","local","coexpression",1
"HSPA9","PRDX6","local","coexpression",1
"HSPA9","TKT","local","coexpression",1
"HSPA9","NIPSNAP1","local","coexpression",1
"HSPA9","GARS","local","coexpression",1
"HSPA9","SLC25A33","local","coexpression",1
"HSPA9","PARS2","local","coexpression",1
"HSPA9","PUS1","local","coexpression",1
"HSPA9","GOT2","local","coexpression",1
"HSPA9","PTRH2","local","coexpression",1
"HSPA9","MGST1","local","coexpression",1
"HSPA9","MTFP1","local","coexpression",1
"HSPA9","NIF3L1","local","coexpression",1
"HSPA9","MAVS","local","coexpression",1
"HSPA9","METTL17","local","coexpression",1
"HSPA9","ACACB","local","coexpression",1
"HSPA9","ARG2","local","coexpression",1
"HSPA9","MTPAP","local","coexpression",1
"HSPA9","CCDC51","local","coexpression",1
"HSPA9","DNM1L","local","coexpression",1
"HSPA9","NRDC","local","coexpression",1
"HSPA9","NSUN4","local","coexpression",1
"HSPA9","ACSS3","local","coexpression",1
"HSPA9","CISD2","local","coexpression",1
"HSPA9","AHCYL1","local","coexpression",1
"HSPA9","NIPSNAP3A","local","coexpression",1
"HSPA9","MTARC1","local","coexpression",1
"HSPA9","ACSL1","local","coexpression",1
"HSPA9","HSDL1","local","coexpression",1
"HSPA9","NUDT19","local","coexpression",1
"HSPA9","PGAM5","local","coexpression",1
"HSPA9","KARS","local","coexpression",1
"HSPA9","HMBS","local","coexpression",1
"HSPA9","COX7A2L","local","coexpression",1
"HSPA9","MTERF3","local","coexpression",1
"HSPA9","SFXN2","local","coexpression",1
"HSPA9","FASN","local","coexpression",1
"HSPA9","PINK1","local","coexpression",1
"HSPA9","TMEM177","local","coexpression",1
"HSPA9","TXNRD1","local","coexpression",1
"HSPA9","THNSL1","local","coexpression",1
"HSPA9","FDPS","local","coexpression",1
"HSPA9","IDI1","local","coexpression",1
"HSPA9","ATXN2","local","coexpression",1
"HSPA9","MTFR1","local","coexpression",1
"HSPA9","DDAH1","local","coexpression",1
"HSPA9","BCL2L13","local","coexpression",1
"HSPA9","TRMT10C","local","coexpression",1
"HSPA9","ACOT7","local","coexpression",1
"HSPA9","TFB1M","local","coexpression",1
"HSPA9","TWNK","local","coexpression",1
"HSPA9","MMADHC","local","coexpression",1
"HSPA9","OSBPL1A","local","coexpression",1
"HSPA9","RECQL4","local","coexpression",1
"HSPA9","HK1","local","coexpression",1
"HSPA9","GDAP1","local","coexpression",1
"HSPA9","UNG","local","coexpression",1
"HSPA9","SHMT1","local","coexpression",1
"HSPA9","PPWD1","local","coexpression",1
"HSPA9","QDPR","local","coexpression",1
"HSPA9","GTPBP10","local","coexpression",1
"HSPA9","TARS","local","coexpression",1
"HSPA9","FTH1","local","coexpression",1
"HSPA9","PSMA6","local","coexpression",1
"HSPA9","RAB35","local","coexpression",1
"HSPA9","MRPS36","local","coexpression",1
"HSPA9","PDP2","local","coexpression",1
"HSPA9","AGPAT5","local","coexpression",1
"HSPA9","SLC25A43","local","coexpression",1
"HSPA9","PACSIN2","local","coexpression",1
"HSPA9","ACO1","local","coexpression",1
"HSPA9","MLH1","local","coexpression",1
"HSPA9","MTHFD1","local","coexpression",1
"HSPA9","EPHX2","local","coexpression",1
"HSPA9","DHCR24","local","coexpression",1
"HSPA9","NUDT5","local","coexpression",1
"HSPA9","MICU1","local","coexpression",1
"HSPA9","SOD1","local","coexpression",1
"HSPA9","BOLA3","local","coexpression",1
"HSPA9","TPI1","local","coexpression",1
"HSPA9","FASTKD2","local","coexpression",1
"HSPA9","TMEM186","local","coexpression",1
"HSPA9","CYB5A","local","coexpression",1
"HSPA9","FABP1","local","coexpression",1
"HSPA9","GAPDH","local","coexpression",1
"HSPA9","PLPBP","local","coexpression",1
"HSPA9","DBI","local","coexpression",1
"HSPA9","PI4KA","local","coexpression",1
"HSPA9","PNPT1","local","coexpression",1
"HSPA9","TOP1MT","local","coexpression",1
"HSPA9","RNASEH1","local","coexpression",1
"HSPA9","SCP2","local","coexpression",1
"HSPA9","NT5DC3","local","coexpression",1
"HSPA9","PTPN4","local","coexpression",1
"HSPA9","ACOX1","local","coexpression",1
"HSPA9","LDHB","local","coexpression",1
"HSPA9","HINT1","local","coexpression",1
"HSPA9","PKLR","local","coexpression",1
"HSPA9","MUL1","local","coexpression",1
"HSPA9","AGMAT","local","coexpression",1
"HSPA9","SYNJ2BP","local","coexpression",1
"HSPA9","NUDT9","local","coexpression",1
"HSPA9","MRM2","local","coexpression",1
"HSPA9","BAK1","local","coexpression",1
"HSPA9","MAOB","local","coexpression",1
"HSPA9","DDX28","local","coexpression",1
"HSPA9","BNIP3","local","coexpression",1
"HSPA9","OCIAD1","local","coexpression",1
"HSPA9","METTL8","local","coexpression",1
"HSPA9","RPUSD4","local","coexpression",1
"HSPA9","FOXRED1","local","coexpression",1
"HSPA9","TFB2M","local","coexpression",1
"HSPA9","PPM1K","local","coexpression",1
"HSPA9","MARCHF5","local","coexpression",1
"HSPA9","SFXN4","local","coexpression",1
"HSPA9","FBXL4","local","coexpression",1
"HSPA9","GPAM","local","coexpression",1
"HSPA9","ATP5S","local","coexpression",1
"HSPA9","RMDN3","local","coexpression",1
"HSPA9","USMG5","local","coexpression",1
"HSPA9","PET117","local","coexpression",1
"HSPA9","MMACHC","local","coexpression",1
"HSPA9","CRYZ","local","coexpression",1
"HSPA9","PYCR1","local","coexpression",1
"HSPA9","TMLHE","local","coexpression",1
"HSPA9","TOMM20","local","coexpression",1
"HSPA9","COA7","local","coexpression",1
"HSPA9","MIEF1","local","coexpression",1
"HSPA9","BNIP3L","local","coexpression",1
"HSPA9","FASTKD5","local","coexpression",1
"HSPA9","RARS","local","coexpression",1
"HSPA9","KIF1B","local","coexpression",1
"HSPA9","COA1","local","coexpression",1
"HSPA9","PDE12","local","coexpression",1
"HSPA9","METTL15","local","coexpression",1
"HSPA9","ATAD3B","local","coexpression",1
"HSPA9","TRUB2","local","coexpression",1
"HSPA9","SND1","local","coexpression",1
"HSPA9","ANGEL2","local","coexpression",1
"HSPA9","PRDX4","local","coexpression",1
"HSPA9","CCT7","local","coexpression",1
"HSPA9","PAICS","local","coexpression",1
"HSPA9","ATIC","local","coexpression",1
"HSPA9","FAM185A","local","coexpression",1
"HSPA9","ABCF2","local","coexpression",1
"HSPA9","TDRKH","local","coexpression",1
"HSPA9","SLC30A6","local","coexpression",1
"HSPA9","MTERF1","local","coexpression",1
"HSPA9","SLC22A4","local","coexpression",1
"HSPA9","CRY1","local","coexpression",1
"HSPA9","MGME1","local","coexpression",1
"HSPA9","EMC2","local","coexpression",1
"HSPA9","C20ORF24","local","coexpression",1
"HSPA9","SPTLC2","local","coexpression",1
"HSPA9","NCOA4","local","coexpression",1
"HSPA9","AGK","local","coexpression",1
"HSPA9","TOMM34","local","coexpression",1
"HSPA9","KIAA0391","local","coexpression",1
"HSPA9","TCHP","local","coexpression",1
"HSPA9","CASP8","local","coexpression",1
"HSPA9","ARMC10","local","coexpression",1
"HSPA9","CDC25C","local","coexpression",1
"HSPA9","RAB32","local","coexpression",1
"HSPA9","RAB11FIP5","local","coexpression",1
"HSPA9","THG1L","local","coexpression",1
"HSPA9","GOLPH3","local","coexpression",1
"HSPA9","PREPL","local","coexpression",1
"HSPA9","FASTKD3","local","coexpression",1
"HSPA9","NBR1","local","coexpression",1
"HSPA9","RCN2","local","coexpression",1
"HSPA9","SETD9","local","coexpression",1
"HSPA9","LAMC1","local","coexpression",1
"HSPA9","BCL2","local","coexpression",1
"HSPA9","BCL2L2","local","coexpression",1
"HSPA9","DNA2","local","coexpression",1
"HSPA9","ALKBH1","local","coexpression",1
"HSPA9","AKAP10","local","coexpression",1
"HSPA9","NSUN3","local","coexpression",1
"HSPA9","SERAC1","local","coexpression",1
