"node1","node2","BRCA","COAD","HNSC","KIRC","KIRP","LIHC","LUAD","LUSC","PRAD","STAD","THCA","UCEC"
"HSPA9","MARS2",0,1,1,1,1,1,1,1,1,1,1,1
"HSPA9","ALDH6A1",0,0,0,1,1,0,0,0,1,0,1,0
"HSPA9","FDXR",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","GATC",0,0,0,0,0,0,0,0,0,1,0,1
"HSPA9","ACAD8",0,0,0,1,1,0,0,0,0,0,1,0
"HSPA9","ALDH2",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","PPIF",0,0,0,0,1,0,0,0,0,1,0,1
"HSPA9","TIMM22",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","IVD",0,0,0,1,1,0,0,0,0,1,1,0
"HSPA9","L2HGDH",1,1,1,1,1,0,0,0,1,1,1,1
"HSPA9","ETHE1",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","MRPL20",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","SLC25A5",0,0,1,1,1,0,0,0,1,1,1,1
"HSPA9","SLC25A12",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","MRPS21",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","TOMM22",0,1,0,0,0,0,0,0,0,1,0,1
"HSPA9","ACAA2",0,0,0,1,1,0,0,0,0,0,0,0
"HSPA9","MRPL30",0,1,1,1,1,0,0,0,1,1,1,1
"HSPA9","NDUFB2",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","MRPS34",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","ETFB",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","AFG1L",0,0,0,1,1,0,0,0,0,1,1,0
"HSPA9","ATPIF1",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","ATP5F1",0,1,0,1,1,0,0,0,1,1,1,1
"HSPA9","COX7C",0,1,1,0,0,0,1,1,0,0,0,0
"HSPA9","CHCHD3",0,1,1,1,1,1,0,1,1,1,1,1
"HSPA9","COQ10B",0,0,0,0,1,0,0,0,0,0,0,0
"HSPA9","ACSF3",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","POLDIP2",0,0,0,0,0,0,0,1,0,0,1,1
"HSPA9","SLC25A10",0,0,0,0,0,0,0,0,0,1,0,0
"HSPA9","SLC25A13",0,0,0,1,1,0,0,0,1,0,1,1
"HSPA9","PDK3",0,0,0,0,1,0,0,0,0,0,0,0
"HSPA9","ME3",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","MRPL22",0,1,1,0,0,0,1,1,0,1,0,0
"HSPA9","IDH2",0,0,0,1,1,0,0,0,0,0,0,0
"HSPA9","GCDH",0,0,0,0,1,0,0,0,0,0,0,0
"HSPA9","MRPL47",0,1,0,0,0,0,0,1,0,1,0,0
"HSPA9","PPA2",0,1,0,1,1,0,0,0,1,1,1,0
"HSPA9","MRPL9",0,1,0,0,1,0,0,0,0,0,0,1
"HSPA9","CHCHD10",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","WARS2",0,1,0,0,1,0,0,0,1,1,1,0
"HSPA9","SLC25A19",0,1,1,0,0,0,0,0,0,1,0,1
